epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0082,1.67147,3.3742,1.11509,0.0346,0.43017,0.17738,0.09365,1.49611,3.48518,1.00882,0.000375,0.000375,0.000375
2,156.906,1.54064,2.02078,1.04162,0.90919,0.07521,0.21068,0.12755,1.46667,2.73322,1.0197,0.000724756,0.000724756,0.000724756
3,213.392,1.46735,1.76149,1.04723,0.60725,0.24341,0.27304,0.1568,1.44065,2.08997,1.04101,0.00103615,0.00103615,0.00103615
4,268.694,1.49093,1.72686,1.0408,0.60423,0.34205,0.35764,0.2007,1.43507,1.59256,1.05904,0.00106437,0.00106437,0.00106437
5,323.529,1.44597,1.57157,1.05607,0.41022,0.40841,0.35621,0.20372,1.40751,1.43353,1.0415,0.0010025,0.0010025,0.0010025
6,378.579,1.43025,1.47293,1.03145,0.52654,0.4206,0.44525,0.2497,1.39497,1.27395,1.02043,0.000940625,0.000940625,0.000940625
7,439.476,1.41127,1.40322,1.0107,0.6615,0.46354,0.5159,0.30247,1.36402,1.20095,1.00874,0.00087875,0.00087875,0.00087875
8,497.375,1.39718,1.29772,1.01455,0.59676,0.54286,0.58825,0.32622,1.35846,1.20179,1.00616,0.000816875,0.000816875,0.000816875
9,552.993,1.39341,1.30026,1.00667,0.4854,0.68812,0.5891,0.3341,1.34774,1.10742,1.01034,0.000755,0.000755,0.000755
10,608.115,1.35512,1.18392,0.98612,0.62786,0.53575,0.60983,0.36432,1.32768,1.05629,1.00253,0.000693125,0.000693125,0.000693125
11,662.977,1.35563,1.21332,1.01671,0.56066,0.56859,0.61979,0.37528,1.3205,1.08542,1.00266,0.00063125,0.00063125,0.00063125
12,717.382,1.33981,1.17066,1.00296,0.61726,0.55801,0.64764,0.38594,1.32353,1.05106,1.01894,0.000569375,0.000569375,0.000569375
13,771.393,1.29343,1.10229,1.00032,0.67617,0.56122,0.65797,0.38982,1.30699,1.01847,1.00948,0.0005075,0.0005075,0.0005075
14,825.707,1.26965,1.0444,0.99628,0.60521,0.64512,0.65583,0.39891,1.29153,0.99979,1.00338,0.000445625,0.000445625,0.000445625
15,880.162,1.2773,1.02383,0.98517,0.69115,0.62008,0.69392,0.41112,1.29902,0.98865,1.00243,0.00038375,0.00038375,0.00038375
16,934.087,1.27304,1.03936,0.98505,0.81766,0.57982,0.70919,0.42611,1.28438,0.97455,0.99364,0.000321875,0.000321875,0.000321875
17,988.05,1.25167,0.99302,0.96661,0.82406,0.5725,0.70774,0.43144,1.28541,0.95172,0.99123,0.00026,0.00026,0.00026
18,1043.02,1.23682,0.96163,0.97796,0.68164,0.66775,0.70777,0.43585,1.27852,0.94092,0.9875,0.000198125,0.000198125,0.000198125
19,1097.62,1.24885,0.95596,0.96482,0.71474,0.68347,0.72414,0.44498,1.27248,0.93697,0.98597,0.00013625,0.00013625,0.00013625
20,1151.12,1.2476,0.96282,0.97913,0.69794,0.69469,0.7267,0.44429,1.26957,0.93604,0.98591,7.4375e-05,7.4375e-05,7.4375e-05
